FECHA,AÑO,DÍA_SEMANA,MES,SEMANA,DÍA_FESTIVO,DÍA_DE_MADRES,DICIEMBRE_24,DICIEMBRE_31,PREDICCIÓN_CHOQUES_DIARIOS
2020-01-01,2020,3,1,1,1,0,0,0,26.789333333333335
2020-01-02,2020,4,1,1,0,0,0,0,61.1546111111111
2020-01-03,2020,5,1,1,0,0,0,0,51.487422077922076
2020-01-04,2020,6,1,1,0,0,0,0,50.862142857142864
2020-01-05,2020,7,1,1,0,0,0,0,33.140523809523806
2020-01-06,2020,1,1,2,1,0,0,0,28.927928571428573
2020-01-07,2020,2,1,2,0,0,0,0,68.06377380952381
2020-01-08,2020,3,1,2,0,0,0,0,75.4961406926407
2020-01-09,2020,4,1,2,0,0,0,0,64.11782539682538
2020-01-10,2020,5,1,2,0,0,0,0,75.77113492063494
2020-01-11,2020,6,1,2,0,0,0,0,69.34102380952382
2020-01-12,2020,7,1,2,0,0,0,0,40.91958730158729
2020-01-13,2020,1,1,3,0,0,0,0,91.03185714285713
2020-01-14,2020,2,1,3,0,0,0,0,92.26182539682539
2020-01-15,2020,3,1,3,0,0,0,0,83.63495634920635
2020-01-16,2020,4,1,3,0,0,0,0,79.81988095238094
2020-01-17,2020,5,1,3,0,0,0,0,90.96647619047619
2020-01-18,2020,6,1,3,0,0,0,0,70.11430663780664
2020-01-19,2020,7,1,3,0,0,0,0,44.18667857142857
2020-01-20,2020,1,1,4,0,0,0,0,84.62780952380953
2020-01-21,2020,2,1,4,0,0,0,0,92.38784523809525
2020-01-22,2020,3,1,4,0,0,0,0,82.47495634920637
2020-01-23,2020,4,1,4,0,0,0,0,86.66307251082254
2020-01-24,2020,5,1,4,0,0,0,0,95.20786507936505
2020-01-25,2020,6,1,4,0,0,0,0,75.78332936507934
2020-01-26,2020,7,1,4,0,0,0,0,38.89101226551226
2020-01-27,2020,1,1,5,0,0,0,0,72.97616666666669
2020-01-28,2020,2,1,5,0,0,0,0,86.72400000000002
2020-01-29,2020,3,1,5,0,0,0,0,73.34357142857144
2020-01-30,2020,4,1,5,0,0,0,0,82.79102380952381
2020-01-31,2020,5,1,5,0,0,0,0,79.82298412698412
2020-02-01,2020,6,2,5,0,0,0,0,83.6084523809524
