BARRIO,Cantidad_accidentes,CANT_sc,Cluster,GR_ACCIDENTES
AUC1,1,-0.5877161511881592,0,0
AUC2,1,-0.5877161511881592,0,0
Aguas Frias,62,-0.5140284032982003,0,0
Aguas frias,36,-0.5454362958414615,0,0
Aldea Pablo VI,87,-0.48382850662198756,0,0
Alejandr\xEDa,83,-0.4886604900901816,0,0
Alejandro Echavarr\xEDa,178,-0.3739008827205734,0,0
Alejandro Echavarría,857,0.44632831100536313,0,0
Alejandría,467,-0.024790077143554773,0,0
Alejandr�a,47,-0.5321483413039279,0,0
Alfonso L\xF3pez,163,-0.392020820726301,0,0
Alfonso López,1005,0.6251116993285423,0,0
Alfonso L�pez,4,-0.5840921635870137,0,0
Altamira,792,0.36780857964721014,0,0
Altavista,378,-0.13230170931087193,0,0
Altavista Sector Central,357,-0.15766962251889058,0,0
Altos del Poblado,386,-0.12263774237448387,0,0
Andaluc\xEDa,41,-0.5393963165062189,0,0
Andalucía,230,-0.311085097634051,0,0
Antonio Nari\xF1o,41,-0.5393963165062189,0,0
Antonio Nariño,228,-0.313501089368148,0,0
Antonio Nari�o,15,-0.5708042090494801,0,0
Aranjuez,451,-0.044118011016330894,0,0
Area De Expansion Altavista,32,-0.5502682793096555,0,0
Area De Expansion Belen Rincon,51,-0.5273163578357338,0,0
Area de Expansion Altos de Calasanz,28,-0.5551002627778495,0,0
Asomadera No. 1,1010,0.6311516786637849,0,0
Asomadera No. 2,619,0.15882529464781836,0,0
Asomadera No. 3,132,-0.42946869260480475,0,0
Asomadera No.1,2,-0.5865081553211107,0,0
Astorga,325,-0.19632549026444282,0,0
Aures No. 2,725,0.28687285655496014,0,0
Aures No.1,632,0.17452924091944894,0,0
Aures No.2,11,-0.5756361925176742,0,0
B. Cerro  El Volador,360,-0.15404563491774506,0,0
B. Cerro El Volador,1,-0.5877161511881592,0,0
Barrio Caicedo,1062,0.6939674637503072,0,0
Barrio Col\xF3n,815,0.3955924845893258,0,0
Barrio Colombia,1308,0.99113444704424,0,0
Barrio Colón,3674,3.849252668481008,1,1
Barrio Col�n,3,-0.5853001594540622,0,0
Barrio Crist\xF3bal,23,-0.5611402421130921,0,0
Barrio Cristóbal,145,-0.41376474633317417,0,0
