BARRIO,ATROPELLOS,ATR_sc,GR_ATROPELLOS
AUC1,0.0,-0.8559925543256541,0
AUC2,0.0,-0.8559925543256541,0
Aguas Frias,0.22580645161290322,0.6077640211084339,0
Aguas frias,0.25,0.7645950827620862,0
Aldea Pablo VI,0.28735632183908044,1.0067518561200244,0
Alejandr\xEDa,0.012048192771084338,-0.7778919453093776,0
Alejandro Echavarr\xEDa,0.07865168539325842,-0.3461447583879381,0
Alejandro Echavarría,0.11085180863477247,-0.13741227183634103,0
Alejandría,0.02569593147751606,-0.6894225188219891,0
Alejandr�a,0.0,-0.8559925543256541,0
Alfonso L\xF3pez,0.11042944785276074,-0.14015016248321668,0
Alfonso López,0.13333333333333333,0.008320852121140686,0
Alfonso L�pez,0.0,-0.8559925543256541,0
Altamira,0.06313131313131314,-0.4467532520307702,0
Altavista,0.164021164021164,0.20725012820810135,0
Altavista Sector Central,0.17366946778711484,0.26979381541596936,0
Altos del Poblado,0.038860103626943004,-0.604087740270565,0
Andaluc\xEDa,0.2926829268292683,1.0412807768990173,0
Andalucía,0.25217391304347825,0.7786871491715447,0
Antonio Nari\xF1o,0.07317073170731707,-0.38167422151948627,0
Antonio Nariño,0.15350877192982457,0.1391051175703268,0
Antonio Nari�o,0.0,-0.8559925543256541,0
Aranjuez,0.14855875831485588,0.10701739409898978,0
Area De Expansion Altavista,0.1875,0.3594481734901511,0
Area De Expansion Belen Rincon,0.058823529411764705,-0.4746778161873623,0
Area de Expansion Altos de Calasanz,0.14285714285714285,0.07005752401019742,0
Asomadera No. 1,0.032673267326732675,-0.644192981953791,0
Asomadera No. 2,0.0210016155088853,-0.7198527205153755,0
Asomadera No. 3,0.015151515151515152,-0.757775121774882,0
Asomadera No.1,0.0,-0.8559925543256541,0
Astorga,0.04,-0.5966985323916156,0
Aures No. 2,0.12,-0.07811048852353882,0
Aures No.1,0.13765822784810128,0.03635633445050675,0
Aures No.2,0.09090909090909091,-0.26668795902102127,0
B. Cerro  El Volador,0.12777777777777777,-0.02769220648080915,0
B. Cerro El Volador,0.0,-0.8559925543256541,0
Barrio Caicedo,0.11299435028248588,-0.12352356581142122,0
Barrio Col\xF3n,0.08220858895705521,-0.3230876626207285,0
Barrio Colombia,0.04434250764525994,-0.5685488755761468,0
Barrio Colón,0.08900381056069678,-0.27903865413219625,0
Barrio Col�n,0.0,-0.8559925543256541,0
Barrio Crist\xF3bal,0.043478260869565216,-0.574151226136482,0
Barrio Cristóbal,0.07586206896551724,-0.364228029967995,0
Barrio de Jes\xFAs,0.17346938775510204,0.2684968265107371,0
Barrio de Jesús,0.16901408450704225,0.2396159890576069,0
Barrio de Jes�s,0.13253012048192772,0.00311414485338899,0
Barrios de Jesús,0.5,2.3851827198498263,1
Batall\xF3n Girardot,0.6666666666666666,3.4655744779083193,1
Batallón Girardot,0.4444444444444444,2.0250521338303287,1
Bel\xE9n,0.07942973523421588,-0.34110116657476314,0
Belalc\xE1zar,0.02857142857142857,-0.6707825386584838,0
Belalcázar,0.06164383561643835,-0.4563956027149785,0
Belalc�zar,0.0,-0.8559925543256541,0
Belencito,0.1270718232044199,-0.03226845149652641,0
Bello Horizonte,0.15736040609137056,0.16407276038947174,0
Belén,0.071843853820598,-0.39027550911605435,0
Bel�n,0.0,-0.8559925543256541,0
Berl\xEDn,0.25,0.7645950827620862,0
Berlin,0.18793273986152326,0.3622533449687897,0
Berlín,0.2222222222222222,0.5845297897523372,0
Bermejal-Los Alamos,0.23166023166023167,0.6457102754081594,0
Betania,0.18439716312056736,0.33933449714331737,0
Blanquizal,0.23809523809523808,0.6874242429007651,0
Bolivariana,0.059447983014861996,-0.47062988903090486,0
Bombon\xE1 No. 1,0.05303030303030303,-0.5122315403979516,0
Bombon\xE1 No. 2,0.09574468085106383,-0.23534196990907275,0
Bombon\xE1 No.1,0.2,0.4404775553445382,0
Bomboná No. 1,0.06666666666666667,-0.42383585110225674,0
Bomboná No. 2,0.11799410029498525,-0.09111343357627819,0
Bomboná No.1,0.09090909090909091,-0.26668795902102127,0
Bombon� No. 2,0.09090909090909091,-0.26668795902102127,0
Boqueron,0.5,2.3851827198498263,1
Bosques de San Pablo,0.046762589928057555,-0.5528610538631991,0
Boston,0.10173787110789283,-0.19649200976134565,0
Boyac\xE1,0.06542056074766354,-0.43191354648961,0
Boyacá,0.09841269841269841,-0.21804694480540082,0
Boyac�,0.0,-0.8559925543256541,0
Brasilia,0.14174454828660435,0.06284529598577487,0
Buenos Aires,0.08050847457627118,-0.33410840000926323,0
Buga Patio Bonito,0.07272727272727272,-0.3845488780819479,0
C\xF3rdoba,0.10891089108910891,-0.14999397975277717,0
Cabecera San Antonio de Prado,0.1432027092404451,0.07229760644448838,0
Cabecera Urbana San Cristobal,0.165,0.2135952861522545,0
Calasanz,0.04789053591790194,-0.5455493125574211,0
