BARRIO,HERIDOS,HERIDOS_sc,GR_HERIDOS
AUC1,0.0,-2.7517868067358324,2
AUC2,1.0,1.7179267664042448,1
Aguas Frias,0.6290322580645161,0.05980721507808714,0
Aguas frias,0.7777777777777778,0.7246570834842277,1
Aldea Pablo VI,0.7586206896551724,0.6390303866807777,1
Alejandr\xEDa,0.37349397590361444,-1.082375713153394,0
Alejandro Echavarr\xEDa,0.6797752808988764,0.2866139929829841,1
Alejandro Echavarría,0.7012835472578763,0.3827497830625183,1
Alejandría,0.29764453961456105,-1.4214009680495996,0
Alejandr�a,0.425531914893617,-0.8497810309315442,0
Alfonso L\xF3pez,0.6809815950920245,0.2920058719055697,1
Alfonso López,0.7014925373134329,0.3836839087504906,1
Alfonso L�pez,1.0,1.7179267664042448,1
Altamira,0.6123737373737373,-0.014651600961921581,0
Altavista,0.5925925925925926,-0.10306765228245345,0
Altavista Sector Central,0.8207282913165266,0.9166335768217099,1
Altos del Poblado,0.5,-0.5169300201657938,0
Andaluc\xEDa,0.7073170731707317,0.4097179157291001,1
Andalucía,0.6869565217391305,0.3187120826386556,1
Antonio Nari\xF1o,0.6585365853658537,0.191683107283243,1
Antonio Nariño,0.7807017543859649,0.7377264214173858,1
Antonio Nari�o,0.8,0.8239840517762296,1
Aranjuez,0.7161862527716186,0.44936060817380163,1
Area De Expansion Altavista,0.8125,0.8798554714404804,1
Area De Expansion Belen Rincon,0.5294117647058824,-0.38546785624990915,0
Area de Expansion Altos de Calasanz,0.6071428571428571,-0.038032137329357146,0
Asomadera No. 1,0.47425742574257423,-0.6319919537317761,0
Asomadera No. 2,0.3780290791599354,-1.0621051005730244,0
Asomadera No. 3,0.44696969696969696,-0.7539602854080707,0
Asomadera No.1,0.5,-0.5169300201657938,0
Astorga,0.35384615384615387,-1.1701958500862666,0
Aures No. 2,0.7889655172413793,0.7746630744174423,1
Aures No.1,0.7816455696202531,0.7419450051806201,1
Aures No.2,0.6363636363636364,0.09257637617148944,0
B. Cerro  El Volador,0.5638888888888889,-0.23136498632628888,0
B. Cerro El Volador,0.0,-2.7517868067358324,2
Barrio Caicedo,0.635593220338983,0.08913283720913182,0
Barrio Col\xF3n,0.43803680981595094,-0.7938877323664979,0
Barrio Colombia,0.43577981651376146,-0.8039758459637805,0
Barrio Colón,0.3873162765378334,-1.0205939883966029,0
Barrio Col�n,0.0,-2.7517868067358324,2
