BARRIO,MUERTOS,MUERTOS_sc,GR_MUERTOS
AUC1,1.0,11.969763978422876,1
AUC2,0.0,-0.14712993392353282,0
Aguas Frias,0.0,-0.14712993392353282,0
Aguas frias,0.0,-0.14712993392353282,0
Aldea Pablo VI,0.011494252873563218,-0.007855291252884467,0
Alejandr\xEDa,0.0,-0.14712993392353282,0
Alejandro Echavarr\xEDa,0.0056179775280898875,-0.07905749621372155,0
Alejandro Echavarría,0.004667444574095682,-0.09057500317745859,0
Alejandría,0.0021413276231263384,-0.12118369428253409,0
Alejandr�a,0.0,-0.14712993392353282,0
Alfonso L\xF3pez,0.0,-0.14712993392353282,0
Alfonso López,0.004975124378109453,-0.08684687963325219,0
Alfonso L�pez,0.0,-0.14712993392353282,0
Altamira,0.0012626262626262627,-0.13183082544834798,0
Altavista,0.007936507936507936,-0.050964109222370865,0
Altavista Sector Central,0.014005602240896359,0.022574462607929467,0
Altos del Poblado,0.0025906735751295338,-0.11573901705216907,0
Andaluc\xEDa,0.0,-0.14712993392353282,0
Andalucía,0.02608695652173913,0.16896295074637344,0
Antonio Nari\xF1o,0.0,-0.14712993392353282,0
Antonio Nariño,0.0043859649122807015,-0.09398566237815385,0
Antonio Nari�o,0.0,-0.14712993392353282,0
Aranjuez,0.004434589800443459,-0.09339647976678601,0
Area De Expansion Altavista,0.0,-0.14712993392353282,0
Area De Expansion Belen Rincon,0.0,-0.14712993392353282,0
Area de Expansion Altos de Calasanz,0.0,-0.14712993392353282,0
Asomadera No. 1,0.0039603960396039604,-0.09914223526077477,0
Asomadera No. 2,0.0,-0.14712993392353282,0
Asomadera No. 3,0.007575757575757576,-0.05533528307242368,0
Asomadera No.1,0.5,5.911317022249671,1
Astorga,0.0,-0.14712993392353282,0
Aures No. 2,0.002758620689655172,-0.1137040196825772,0
Aures No.1,0.0031645569620253164,-0.10878533293509483,0
Aures No.2,0.0,-0.14712993392353282,0
B. Cerro  El Volador,0.002777777777777778,-0.11347189527812614,0
B. Cerro El Volador,1.0,11.969763978422876,1
Barrio Caicedo,0.006591337099811676,-0.0672634015446017,0
Barrio Col\xF3n,0.0049079754601227,-0.08766051594882653,0
Barrio Colombia,0.00382262996941896,-0.1008115321179273,0
Barrio Colón,0.003810560696788242,-0.10095777421399288,0
Barrio Col�n,0.0,-0.14712993392353282,0
Barrio Crist\xF3bal,0.0,-0.14712993392353282,0
Barrio Cristóbal,0.006896551724137931,-0.06356514832114381,0
Barrio de Jes\xFAs,0.01020408163265306,-0.023488159307753168,0
Barrio de Jesús,0.017605633802816902,0.06619566312481942,0
Barrio de Jes�s,0.012048192771084338,-0.0011432602808050189,0
Barrios de Jesús,0.0,-0.14712993392353282,0
Batall\xF3n Girardot,0.0,-0.14712993392353282,0
Batallón Girardot,0.0,-0.14712993392353282,0
Bel\xE9n,0.002036659877800407,-0.12245194224869291,0
Belalc\xE1zar,0.0,-0.14712993392353282,0
Belalcázar,0.0017123287671232876,-0.12638182790924105,0
Belalc�zar,0.0,-0.14712993392353282,0
Belencito,0.0055248618784530384,-0.08018576866195047,0
Bello Horizonte,0.005076142131979695,-0.08562285822634294,0
Belén,0.0029069767441860465,-0.11190640510857235,0
Bel�n,0.0,-0.14712993392353282,0
Berl\xEDn,0.0,-0.14712993392353282,0
Berlin,0.006923837784371909,-0.0632345260240028,0
Berlín,0.0,-0.14712993392353282,0
Bermejal-Los Alamos,0.011583011583011582,-0.00677981138670186,0
Betania,0.014184397163120567,0.024740901712586423,0
Blanquizal,0.005952380952380952,-0.07500556539766136,0
Bolivariana,0.004246284501061571,-0.09567815510252899,0
Bombon\xE1 No. 1,0.007575757575757576,-0.05533528307242368,0
Bombon\xE1 No. 2,0.010638297872340425,-0.01822680719644339,0
Bombon\xE1 No.1,0.0,-0.14712993392353282,0
Bomboná No. 1,0.0045045045045045045,-0.09254933071476523,0
Bomboná No. 2,0.0058997050147492625,-0.07564383414567792,0
Bomboná No.1,0.0,-0.14712993392353282,0
Bombon� No. 2,0.0,-0.14712993392353282,0
Boqueron,0.0,-0.14712993392353282,0
Bosques de San Pablo,0.0035971223021582736,-0.10354398459854575,0
Boston,0.004344677769732078,-0.09448593430435943,0
Boyac\xE1,0.0,-0.14712993392353282,0
Boyacá,0.0031746031746031746,-0.10866360404306805,0
Boyac�,0.0,-0.14712993392353282,0
Brasilia,0.006230529595015576,-0.07163526780299447,0
Buenos Aires,0.0,-0.14712993392353282,0
Buga Patio Bonito,0.0,-0.14712993392353282,0
C\xF3rdoba,0.0,-0.14712993392353282,0
Cabecera San Antonio de Prado,0.011369134010643444,-0.009371343241316785,0
Cabecera Urbana San Cristobal,0.0075,-0.056253229580934774,0
Calasanz,0.002280501710376283,-0.11949733663197888,0
Calasanz Parte Alta,0.00186219739292365,-0.12456588566962891,0
Calle Nueva,0.0038230475150191155,-0.10080647276218664,0
Campo Alegre,0.004545454545454545,-0.09205314341286734,0
Campo Amor,0.005606031316450802,-0.07920224719280679,0
Campo Vald\xE9s No. 1,0.013605442176870748,0.01772576556417339,0
Campo Vald\xE9s No. 2,0.005813953488372093,-0.07668287629361185,0
Campo Vald\xE9s No.2,0.0,-0.14712993392353282,0
Campo Valdés No. 1,0.004942339373970346,-0.0872441320503216,0
Campo Valdés No. 2,0.009142857142857144,-0.03634690386779424,0
Campo Valdés No.2,0.015873015873015872,0.04520171547879109,0
Campo Vald�s No. 1,0.0,-0.14712993392353282,0
Campo Vald�s No. 2,0.0,-0.14712993392353282,0
Caribe,0.005197920831667333,-0.08414727864144435,0
Carlos E. Restrepo,0.003063213589529379,-0.11001329982834751,0
Carpinelo,0.006211180124223602,-0.07186972328784086,0
Castilla,0.004227642276422764,-0.09590404096076754,0
