BARRIO,MUERTOS,HERIDOS,ATROPELLOS,TOTAL
La Candelaria,26,2455,1006,3487
Cabecera San Antonio de Prado,47,2445,592,3084
Caribe,26,2550,200,2776
Campo Amor,29,2427,253,2709
Castilla,13,2292,361,2666
Perpetuo Socorro,22,2385,204,2611
Villa Nueva,21,1763,483,2267
San Benito,29,1582,420,2031
Los Conquistadores,22,1827,175,2024
Santa Fé,20,1767,191,1978
Los Colores,13,1695,209,1917
Carlos E. Restrepo,11,1642,163,1816
Guayaquil,27,1424,363,1814
Terminal de Transporte,19,1593,187,1799
Barrio Colón,14,1423,327,1764
Boston,12,1458,281,1751
Naranjal,14,1431,170,1615
Prado,15,1362,190,1567
San Diego,12,1312,167,1491
Cristo Rey,22,1235,180,1437
Guayabal,12,1258,151,1421
El Chagualo,23,1135,200,1358
La Alpujarra,15,1158,106,1279
Las Granjas,14,967,295,1276
Belén,7,1020,173,1200
Jesús Nazareno,21,1009,163,1193
Moravia,16,928,237,1181
Villa Carlota,13,1062,92,1167
Universidad Nacional,14,1040,99,1153
El Progreso,3,1027,114,1144
Campo Valdés No. 1,6,906,190,1102
Corazón de Jesús,24,883,189,1096
La Aguacatala,10,1003,61,1074
Rosales,9,951,89,1049
San Isidro,3,868,177,1048
Pedregal,6,825,190,1021
Robledo,9,905,104,1018
Laureles,10,907,83,1000
Sevilla,11,828,152,991
El Diamante,2,833,147,982
Kennedy,2,747,217,966
Manrique Central No. 1,11,830,105,946
Manrique Oriental,6,772,166,944
Trinidad,7,758,174,939
Suramericana,8,836,94,938
Estación Villa,12,700,211,923
San Bernardo,10,767,127,904
Campo Valdés No. 2,8,699,195,902
Oleoducto,20,807,64,891
Berlin,7,685,190,882
Manila,6,800,71,877
Miranda,7,711,157,875
Picacho,2,702,156,860
Cucaracho,4,785,69,858
Calle Nueva,7,709,139,855
Cuarta Brigada,6,720,118,844
Alfonso López,5,705,134,844
Girardot,5,734,103,842
Facultad de Minas U. Nacional,2,786,47,835
Toscana,19,729,85,833
Buenos Aires,0,722,95,817
Las Brisas,10,721,75,806
Barrio Caicedo,7,675,120,802
Las Acacias,3,721,77,801
La Esperanza,5,624,169,798
Tejelo,4,640,135,779
Los Ángeles,5,671,98,774
San Miguel,3,683,82,768
El Estadio,3,635,113,751
La América,7,618,126,751
López de Mesa,3,659,83,745
Loreto,3,592,148,743
Parque Juan Pablo II,11,672,48,731
Santander,10,553,156,719
La Salle,5,530,184,719
Villa Flora,0,657,59,716
Cerro Nutibara,12,647,56,715
La Gloria,1,662,52,715
Castropol,3,630,68,701
Alejandro Echavarría,4,601,95,700
Doce de Octubre No.2,6,563,130,699
Cabecera Urbana San Cristobal,6,559,132,697
Manrique Central No. 2,3,577,104,684
Héctor Abad Gómez,12,613,54,679
Tricentenario,9,616,54,679
San Pedro,8,558,112,678
Universidad de Antioquia,9,610,50,669
Los Pinos,8,576,85,669
San Javier No.1,4,552,106,662
Aures No. 2,2,572,87,661
Santo Domingo Savio No. 1,3,458,195,656
Enciso,6,537,104,647
Florida Nueva,4,526,116,646
El Poblado,4,548,83,635
Barrio Colombia,5,570,58,633
Villa Hermosa,2,503,127,632
Área de Expansión Pajarito,6,530,85,621
0,3,566,51,620
Lorena,8,514,95,617
Sucre,6,534,71,611
Tenche,6,552,49,607
El Rincón,1,529,76,606
La Floresta,4,511,85,600
Patio Bonito,6,550,44,600
Fátima,3,549,47,599
Versalles No. 1,3,440,148,591
El Raizal,3,477,111,591
Doce de Octubre No.1,4,466,120,590
Aures No.1,2,494,87,583
Bomboná No. 1,5,502,74,581
Los Mangos,5,446,127,578
Villatina,2,442,119,563
San Martín de Porres,1,460,98,559
Brasilia,4,460,91,555
Popular,1,395,143,539
Campo Alegre,3,464,70,537
Las Palmas,9,466,61,536
Altamira,1,485,50,536
El Pinal,1,413,119,533
El Salvador,2,446,80,528
Miraflores,2,463,56,521
San Germán,6,436,77,519
Asomadera No. 1,4,479,33,516
Francisco Antonio Zea,0,421,82,503
Bolivariana,4,442,56,502
Santa Inés,4,381,108,493
Palermo,4,396,92,492
La Castellana,3,417,61,481
La Colina,5,406,67,478
Boyacá,2,413,62,477
Villa Guadalupe,4,362,111,477
Calasanz,2,432,42,476
