FECHA,AÑO,DÍA_SEMANA,MES,SEMANA,DÍA_FESTIVO,DÍA_DE_MADRES,DICIEMBRE_24,DICIEMBRE_31,PREDICCIÓN_CHOQUES_MENSUAL
2020-01-31,2020,3,1,1,1,0,0,0,2149.781065295815
2020-02-29,2020,6,2,5,0,0,0,0,2488.118316017316
2020-03-31,2020,7,3,9,0,0,0,0,2447.879055194805
2020-04-30,2020,3,4,14,0,0,0,0,2447.2214498557
2020-05-31,2020,5,5,18,1,0,0,0,2500.989385947386
2020-06-30,2020,1,6,23,0,0,0,0,2291.328781024531
2020-07-31,2020,3,7,27,0,0,0,0,2541.2099054834057
2020-08-31,2020,6,8,31,0,0,0,0,2523.462465673216
2020-09-30,2020,2,9,36,0,0,0,0,2565.800400987901
2020-10-31,2020,4,10,40,0,0,0,0,2562.550027861028
2020-11-30,2020,7,11,44,0,0,0,0,2352.832766996892
2020-12-31,2020,2,12,49,0,0,0,1,2521.7958554501056
2021-01-31,2021,5,1,53,1,0,0,0,2023.208621878122
2021-02-28,2021,1,2,5,0,0,0,0,2412.5061255411256
2021-03-31,2021,1,3,9,0,0,0,0,2537.8744321789322
2021-04-30,2021,4,4,13,1,0,0,0,2422.9970652958154
2021-05-31,2021,6,5,17,1,0,0,0,2522.1560316905316
2021-06-30,2021,2,6,22,0,0,0,0,2364.3318802308804
2021-07-31,2021,4,7,26,0,0,0,0,2436.661015207015
2021-08-31,2021,7,8,30,0,0,0,0,2623.28215007215
2021-09-30,2021,3,9,35,0,0,0,0,2558.570582251082
2021-10-31,2021,5,10,39,0,0,0,0,2535.0462143689647
2021-11-30,2021,1,11,44,1,0,0,0,2450.3079405178155
2021-12-31,2021,3,12,48,0,0,0,1,2601.073692168942
