FECHA_ACCIDENTE,Atropello,Caida Ocupante,Choque,Incendio,Otro,Volcamiento
2015-01-01,27,10,22,0,8,3
2015-01-02,10,9,45,0,10,3
2015-01-03,11,11,42,0,8,1
2015-01-04,8,11,33,0,5,1
2015-01-05,8,3,52,0,6,7
2015-01-06,13,4,71,0,9,3
2015-01-07,14,6,56,0,11,1
2015-01-08,7,4,58,0,9,5
2015-01-09,17,14,60,0,7,5
2015-01-10,19,9,57,0,4,2
2015-01-11,10,7,37,0,9,2
2015-01-12,7,13,31,0,6,3
2015-01-13,16,13,99,0,31,5
2015-01-14,10,11,70,0,10,3
2015-01-15,10,11,64,0,8,8
2015-01-16,16,13,70,0,13,4
2015-01-17,9,14,59,0,24,3
2015-01-18,12,9,44,0,3,2
2015-01-19,9,13,71,0,6,1
2015-01-20,14,13,94,0,18,6
2015-01-21,13,19,81,0,16,5
2015-01-22,12,8,91,0,29,4
2015-01-23,9,8,71,0,18,2
2015-01-24,16,10,65,0,8,4
2015-01-25,20,13,37,0,9,1
2015-01-26,11,12,68,0,15,3
2015-01-27,11,11,74,0,20,8
2015-01-28,8,7,77,0,7,1
2015-01-29,17,10,84,0,10,3
2015-01-30,8,5,67,0,13,4
2015-01-31,15,6,79,0,5,2
2015-02-01,12,9,50,0,6,4
2015-02-02,18,12,89,0,11,6
2015-02-03,18,14,96,0,13,1
2015-02-04,11,12,72,0,8,2
2015-02-05,13,20,85,0,19,0
2015-02-06,13,17,102,0,18,2
2015-02-07,13,11,70,0,13,6
2015-02-08,14,7,53,0,18,3
2015-02-09,17,10,89,0,30,5
2015-02-10,7,14,105,0,13,2
2015-02-11,17,8,69,0,8,2
2015-02-12,13,10,91,0,10,5
2015-02-13,11,10,105,0,13,3
2015-02-14,10,13,74,0,7,3
2015-02-15,13,3,62,0,15,4
2015-02-16,19,6,97,0,9,3
2015-02-17,9,7,103,0,11,5
2015-02-18,18,10,83,0,10,6
2015-02-19,16,5,98,0,19,2
2015-02-20,10,13,96,0,19,3
2015-02-21,16,6,70,0,8,12
2015-02-22,5,8,50,0,6,1
2015-02-23,14,7,86,0,11,3
2015-02-24,10,14,96,0,10,1
2015-02-25,22,8,85,0,14,4
2015-02-26,11,7,94,0,17,3
2015-02-27,17,9,92,0,7,7
2015-02-28,14,11,77,0,14,7
2015-03-01,16,7,60,0,18,3
2015-03-02,17,12,84,0,12,2
2015-03-03,14,12,89,0,15,3
2015-03-04,15,11,92,0,17,0
2015-03-05,14,13,83,0,13,2
